Start,Output
0.80683345,0.96558465
0.85409671,0.96578912
0.94291471,0.96833299
0.90874748,0.96855274
0.8830591,0.96869121
0.92545332,0.96857648
0.92948287,0.96825125
0.91210544,0.96855744
0.90941907,0.96849204
0.90496978,0.96806794
0.92637676,0.96773111
0.88725655,0.96826114
0.91160175,0.9686342
0.92167562,0.96866939
0.92595702,0.96878032
0.90438214,0.96829327
0.94627267,0.96897393
0.95282069,0.96919941
0.95508731,0.96911306
0.96432169,0.96931834
0.98682001,0.96933317
1.0,0.96952047
0.96700806,0.96923336
0.92234721,0.96869269
0.92083613,0.96866276
0.9677636,0.96889605
0.99706179,0.96953901
0.99874077,0.96947578
0.94434184,0.9689832
0.91034251,0.96870769
0.86668905,0.96877383
0.86257555,0.96806386
0.88347884,0.96805165
0.84838818,0.96767447
0.81883815,0.96755178
0.8263096,0.96717318
0.80926797,0.96699671
0.82714909,0.96724869
0.8060779,0.96723062
0.84410678,0.96618532
0.8225319,0.96671383
0.82975151,0.96667595
0.79969778,0.96585178
0.77669577,0.96342015
0.77552048,0.96242418
0.786182,0.96375742
0.74907656,0.96137534
0.74084956,0.95924343
0.7296004,0.95785036
0.75360981,0.95975186
0.74597045,0.96071227
0.73262257,0.95802832
0.72808932,0.95865363
0.74042982,0.95753731
0.74958026,0.95785267
0.79785091,0.96423459
0.74118536,0.96238484
0.74429147,0.95896676
0.75654802,0.96126469
0.77216253,0.96200114
0.75041974,0.96224957
0.7501679,0.96241219
0.70047011,0.95391658
0.69837139,0.95217029
0.68670248,0.95146768
0.67394224,0.95023051
0.67293486,0.94710075
0.64674278,0.94255808
0.64195769,0.93448543
0.62760242,0.93552859
0.62961719,0.92996442
0.58201813,0.91396646
0.5481867,0.88693952
0.59771659,0.88730935
0.59864003,0.91817458
0.6536266,0.92776161
0.80943586,0.94755577
0.6855272,0.94857393
0.67704835,0.95104304
0.71650437,0.94811713
0.67646071,0.94923928
0.5884822,0.93803482
0.62550369,0.93143605
0.6047683,0.92545775
0.56791471,0.90962335
0.56850235,0.91011091
0.52014775,0.88391145
0.53718939,0.87338399
0.52677972,0.85813683
0.50629617,0.86615132
0.43023842,0.7933031
0.46155138,0.7854149
0.44073203,0.78632475
0.40455003,0.67288133
0.36618536,0.63601048
0.38373069,0.6699948
0.40203156,0.69076436
0.37860981,0.66930953
0.34192411,0.62719834
0.34402283,0.66220256
0.31187038,0.59829302
0.29994963,0.58387565
0.30733714,0.57315195
0.3463734,0.64618164
0.33243788,0.59856709
0.35183009,0.58750132
0.31682337,0.58786633
0.3712223,0.62005118
0.32924782,0.59706992
0.28987576,0.52608797
0.29273002,0.53523211
0.30221625,0.53564202
0.2786266,0.50741983
0.2498321,0.48019632
0.26964406,0.46674869
0.26015782,0.45784575
0.24303224,0.46087772
0.23698791,0.43943996
0.23043989,0.4301684
0.19031229,0.39823783
0.19333445,0.38696963
0.23035594,0.44461757
0.20005037,0.41911602
0.23514103,0.44282401
0.24361988,0.42203566
0.17511753,0.39602379
0.17293486,0.38003196
0.14783412,0.37276213
0.12441236,0.27840923
0.14691068,0.32140116
0.1327233,0.31793152
0.14195769,0.31186725
0.18116185,0.36896887
0.16856951,0.35369471
0.15463398,0.38810477
0.11736064,0.34639128
0.0884822,0.32371217
0.05859637,0.31403118
0.04121894,0.2934105
0.03433512,0.25226081
0.18821357,0.39830824
0.18779382,0.43540851
0.13901948,0.40298474
0.13003694,0.36111754
0.12172599,0.35320745
0.09620551,0.33344969
0.09721289,0.3625559
0.09435863,0.35228898
0.07740094,0.3529239
0.07714909,0.36737537
0.10392881,0.33792653
0.13742445,0.31927514
0.13549362,0.35407293
0.15891538,0.36361087
0.17050034,0.42662146
0.12995299,0.35998739
0.1330591,0.35998509
0.12919745,0.36360043
0.13045668,0.37733438
0.12726662,0.36132717
0.12323707,0.36387162
0.11820013,0.37096483
0.12558764,0.37409366
0.11794829,0.3815632
0.11240766,0.41696061
0.09528207,0.39978509
0.08176629,0.37838713
0.06581598,0.41736168
0.09603761,0.36672811
0.07362324,0.31517926
0.07118872,0.31129897
0.11257555,0.3531309
0.11047683,0.35079616
0.09628946,0.33789907
0.10636333,0.32204691
0.12970114,0.35307718
0.14262928,0.39127617
0.15077233,0.38127364
0.11652116,0.35628718
0.1291135,0.35796072
0.16025856,0.40330701
0.14565144,0.38172613
0.1615178,0.36848333
0.17478173,0.38315877
0.16361652,0.38906733
0.13658496,0.36463287
0.17394224,0.35063351
0.16814976,0.38838572
0.1774681,0.37690397
0.19123573,0.39564252
0.18410007,0.39161945
0.21213902,0.42772174
0.21289456,0.44349796
0.2254869,0.47603714
0.22808932,0.46996233
0.21868704,0.47145829
0.23237072,0.47690009
0.22011417,0.46310366
0.18720618,0.44098379
0.19686031,0.40319342
0.18695433,0.40030159
0.22179315,0.46307463
0.22103761,0.45787772
0.20911686,0.46342402
0.19257891,0.46038944
0.19459369,0.47854328
0.21868704,0.48157032
0.20172935,0.46113836
0.19576897,0.47821165
0.19367025,0.46801154
0.19963062,0.47324462
0.20290463,0.47660657
0.17175957,0.43480447
0.17813969,0.43235878
0.18695433,0.42954331
0.20533915,0.4542577
