Start,Output
0.80683345,0.79714294
0.85409671,0.79748454
0.94291471,0.80178454
0.90874748,0.802246
0.8830591,0.8024818
0.92545332,0.80227676
0.92948287,0.80158273
0.91210544,0.80221932
0.90941907,0.80210371
0.90496978,0.8012919
0.92637676,0.80057154
0.88725655,0.80152382
0.91160175,0.80225754
0.92167562,0.8023298
0.92595702,0.8025555
0.90438214,0.80148042
0.94627267,0.80293553
0.95282069,0.80349651
0.95508731,0.80328796
0.96432169,0.80376387
0.98682001,0.80385411
1.0,0.80432914
0.96700806,0.8035545
0.92234721,0.80226257
0.92083613,0.8021961
0.9677636,0.80270521
0.99706179,0.80430964
0.99874077,0.80410913
0.94434184,0.80279614
0.91034251,0.80209467
0.86668905,0.80231067
0.86257555,0.80079263
0.88347884,0.80078639
0.84838818,0.79998252
0.81883815,0.79982558
0.8263096,0.79918935
0.80926797,0.7988601
0.82714909,0.79930368
0.8060779,0.7993285
0.84410678,0.79767894
0.8225319,0.79852319
0.82975151,0.79852902
0.79969778,0.79730683
0.77669577,0.79383684
0.77552048,0.79230814
0.786182,0.79419378
0.74907656,0.79104103
0.74084956,0.78860221
0.7296004,0.7869463
0.75360981,0.78885562
0.74597045,0.78999143
0.73262257,0.78684061
0.72808932,0.78746114
0.74042982,0.78689755
0.74958026,0.78672401
0.79785091,0.79452227
0.74118536,0.79199169
0.74429147,0.78788628
0.75654802,0.79043217
0.77216253,0.79125126
0.75041974,0.79165664
0.7501679,0.79167764
0.70047011,0.7820894
0.69837139,0.78051097
0.68670248,0.77981096
0.67394224,0.77846236
0.67293486,0.77596957
0.64674278,0.77205525
0.64195769,0.76583332
0.62760242,0.76603769
0.62961719,0.7620949
0.58201813,0.7513171
0.5481867,0.73550605
0.59771659,0.73625583
0.59864003,0.75296925
0.6536266,0.75996249
0.80943586,0.77520342
0.6855272,0.77581979
0.67704835,0.77814189
0.71650437,0.77535638
0.67646071,0.77618385
0.5884822,0.76642302
0.62550369,0.76072396
0.6047683,0.75698624
0.56791471,0.74688168
0.56850235,0.74712932
0.52014775,0.73167818
0.53718939,0.72538486
0.52677972,0.71506464
0.50629617,0.7192568
0.43023842,0.68126366
0.46155138,0.67933721
0.44073203,0.68231687
0.40455003,0.62583267
0.36618536,0.60486448
0.38373069,0.62065187
0.40203156,0.63143376
0.37860981,0.62020709
0.34192411,0.59606167
0.34402283,0.61360883
0.31187038,0.57594027
0.29994963,0.56436694
0.30733714,0.56016316
0.3463734,0.60502337
0.33243788,0.57841862
0.35183009,0.57078738
0.31682337,0.5735898
0.3712223,0.59422503
0.32924782,0.58017379
0.28987576,0.53487353
0.29273002,0.54186317
0.30221625,0.54461523
0.2786266,0.52052725
0.2498321,0.48886688
0.26964406,0.46700821
0.26015782,0.45896926
0.24303224,0.45576151
0.23698791,0.41463177
0.23043989,0.3929491
0.19031229,0.31009691
0.19333445,0.28493172
0.23035594,0.42492531
0.20005037,0.37402987
0.23514103,0.42370951
0.24361988,0.37691373
0.17511753,0.31117341
0.17293486,0.27713786
0.14783412,0.26462741
0.12441236,0.19668719
0.14691068,0.21415163
0.1327233,0.212321
0.14195769,0.20941037
0.18116185,0.25920143
0.16856951,0.23967896
0.15463398,0.29396346
0.11736064,0.23145156
0.0884822,0.21545841
0.05859637,0.21097942
0.04121894,0.20243191
0.03433512,0.18769136
0.18821357,0.32180329
0.18779382,0.41933782
0.13901948,0.33757179
0.13003694,0.25075369
0.12172599,0.24001734
0.09620551,0.22186835
0.09721289,0.25314173
0.09435863,0.23913179
0.07740094,0.23932603
0.07714909,0.25932807
0.10392881,0.2244331
0.13742445,0.21365092
0.13549362,0.2371958
0.15891538,0.24556153
0.17050034,0.37433286
0.12995299,0.24302755
0.1330591,0.24286613
0.12919745,0.24777364
